Cybercrime Input,Legal Sections (BNS & IT Act 2000)
My bank card was a victim of card skimming,"BNS: Section 336, IT Act: Section 72A"
Someone stole my identity and opened accounts in my name.,"BNS: Section 332, IT Act: Section 66D"
My medical records were leaked during a data breach,"BNS: Section 331, IT Act: Section 66"
I lost money from an online investment scam.,"BNS: Section 336, IT Act: Section 43"
I was targeted in an email scam that asked me to pay a hefty amount,"BNS: Section 334, IT Act: Section 66D"
My Aadhaar number was misused to commit a crime,"BNS: Section 171, IT Act: Section 72A"
My personal data was leaked in a massive data breach.,"BNS: Section 337, IT Act: Section 72A"
"I was a victim of financial fraud, and my bank account is drained.","BNS: Section 330, IT Act: Section 43"
My money was stolen through financial fraud.,"BNS: Section 336, IT Act: Section 66D"
My personal data was leaked in a massive data breach.,"BNS: Section 337, IT Act: Section 43A"
My card was skimmed while I was making a payment in a local shop,"BNS: Section 330, IT Act: Section 43"
Someone wrote false statements to defame me on social media,"BNS: Section 354, IT Act: Section 67"
I lost money from an email scam.,"BNS: Section 336, IT Act: Section 66D"
My antivirus detected a malware on my computer.,"BNS: Section 334, IT Act: Section 67C"
I was a victim of online fraud and lost money on a fake e-commerce website.,"BNS: Section 336, IT Act: Section 43"
An ATM skimming device stole my card info,"BNS: Section 336, IT Act: Section 72A"
My Aadhaar number was misused to commit a crime,"BNS: Section 332, IT Act: Section 72A"
An ATM skimming device stole my card info,"BNS: Section 330, IT Act: Section 72A"
Someone published defamatory content about me online.,"BNS: Section 333, IT Act: Section 67"
I cannot access my files because of a ransomware attack.,"BNS: Section 331, IT Act: Section 66"
I was targeted in an email scam that asked me to pay a hefty amount,"BNS: Section 330, IT Act: Section 72A"
Someone wrote false statements to defame me on social media,"BNS: Section 354, IT Act: Section 67A"
My whole computer has been locked by ransomware,"BNS: Section 331, IT Act: Section 66"
My personal computer was hacked and is now acting strangely.,"BNS: Section 332, IT Act: Section 66"
An unknown person created a social media profile using my name,"BNS: Section 330, IT Act: Section 72A"
Someone made fraudulent purchases on my credit card online,"BNS: Section 336, IT Act: Section 66D"
I was targeted in an email scam that asked me to pay a hefty amount,"BNS: Section 336, IT Act: Section 43"
False rumors about me were spread online with the purpose to defame me.,"BNS: Section 333, IT Act: Section 67"
